Sr. No.,Product ID,Product Name,Brand,Main Images,Sub Images,PFL Images,White Background Images,Lifestyle Images,Certificate Images,Giftbox Images,Diecut Images,A+ Content Images,Ads Images,Unedited Images,PFL Generated Images
823,6294020019638,"Royalford RF8392 Fine Bone Dinner Set, 47pieces",Royalford,1,0,0,0,1,0,0,0,0,0,1,0
824,6294020019652,"Royalford RF8394 Fine Bone Premium Dinner Set, 47pieces",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
825,6294020019669,"Royalford RF8395 Fine Bone Premium Dinner Set, 47pieces",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
826,6294020019775,Royalford RF8406 Professional Floor Broom Turkey,Royalford,1,1,0,0,0,0,0,0,0,0,0,0
827,6294020019874,,None,1,0,1,0,0,0,0,0,0,0,0,0
828,6294020019881,,None,1,1,1,0,0,0,0,0,0,0,0,0
829,6294020019980,Royalford RF8427 PP Polymer Water Dispenser,Royalford,1,0,1,0,0,0,0,1,0,0,0,0
830,6294020019997,"Royalford RF8428 Aluminium Pressure Cooker, 2pieces",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
831,6294020020016,"Royalford RF8430 Non-stick Cookware Set, 15pieces",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
832,6294020020153,Royalford RF8444 Multi Purpose Divided Fry Pan,Royalford,1,0,1,0,0,0,0,0,0,0,0,0
833,6294020020290,"Royalford RF8458 Lara Royal Istikana, 6pieces",Royalford,1,0,1,0,0,0,0,0,0,0,1,0
834,6294020020306,"Royalford RF8459 Liwa Royal Istikana, 6pieces",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
835,6294020020313,"Royalford RF8460 Liza Royal Istikana, 6pieces",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
836,6294020020320,"Royalford RF8461 Lana Royal Istikana, 6pieces",Royalford,1,0,1,0,0,0,0,0,0,0,1,0
837,6294020020337,"Royalford RF8462 Lima Royal Istikana, 6pieces",Royalford,1,0,1,0,0,0,0,0,0,0,1,0
838,6294020020344,"Royalford RF8463 Stoneware Tea Cup Set, 3pieces",Royalford,1,0,1,0,0,0,0,0,0,0,1,0
839,6294020020351,"Royalford RF8464 Stainless Steel Double Wall Vacuum Flask, 1.2L",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
840,6294020020368,"Royalford RF8465 Stainless Steel Double Wall Vacuum Flask, 1.5L",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
841,6294020020375,"Royalford RF8466 Stainless Steel Double Wall Vacuum Flask, 2L",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
842,6294020020382,"Royalford RF8467 Stainless Steel Liwa Jumbo Hot Pot, 15L",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
843,6294020020429,"Royalford RF8471 Stainless Cookware Steel Set, 14piece Set",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
844,6294020020436,"Royalford RF8472 Airtight Glass Jar Set, 3pieces",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
845,6294020020573,"Royalford RF8486 Melamine Aqua Small Thai Dish, 3.5",Royalford,0,0,1,0,0,0,0,0,0,0,0,0
846,6294020020580,"Royalford RF8487 Melamine Aqua Small Thai Dish, 3.5",Royalford,0,0,1,0,0,0,0,0,0,0,0,0
847,6294020020597,"Royalford RF8488 Melamine Aqua Small Thai Dish, 3.5",Royalford,0,0,1,0,0,0,0,0,0,0,0,0
848,6294020020603,"Royalford RF8489 Melamine Radiant Small Thai Bowl, 3.5",Royalford,0,0,1,0,0,0,0,0,0,0,0,0
849,6294020020610,"Royalford RF8490 Melamine Radiant Small Thai Bowl, 3.5",Royalford,0,0,1,0,0,0,0,0,0,0,0,0
850,6294020020627,"Royalford RF8491 Melamine Radiant Small Thai Bowl, 3.5",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
851,6294020020641,Royalford RF8493 Non-stick Aluminium Kadai,Royalford,1,0,1,0,0,0,0,0,0,0,0,0
852,6294020020665,Royalford RF8495 Non-stick Cast Iron Wok,Royalford,1,0,1,0,0,0,0,0,0,0,0,0
853,6294020020719,"Royalford RF8500 Non-stick Cook Ware Set, 10pieces",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
854,6294020020726,Royalford RF8501 Stainless Steel Puttu Maker with Stick,Royalford,1,1,1,0,0,0,0,0,0,0,0,0
855,6294020020733,Royalford RF8502 Stainless Steel Puttu Maker Set,Royalford,1,1,1,0,0,0,0,0,0,0,0,0
856,6294020020740,Royalford RF8503 Stainless Steel 3-in-1 Modern Puttu Solution,Royalford,1,1,1,0,0,0,0,0,0,0,0,0
857,6294020020764,Royalford RF8505 Stainless Steel Modern Idly Cooker,Royalford,1,1,1,0,0,0,0,0,0,0,0,0
858,6294020021419,Royalford RF8570 2-Layer Plastic Dish Rack,Royalford,1,1,1,0,0,0,0,0,0,0,0,0
859,6294020021440,Royalford RF8573 3-Tier Rosa Gold Fruit Basket,Royalford,1,0,1,0,0,0,0,0,0,0,0,0
860,6294020021488,"Royalford RF8577 Golden Cone Arabic Flask, 1L",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
861,6294020021495,"Royalford RF8578 Rumi Persian Vacuum Flask, 1L",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
862,6294020021501,"Royalford RF8579 Rumi Persian Vacuum Flask, 1L",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
863,6294020021518,"Royalford RF8580 Stoneware Mug, 325ml",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
864,6294020021525,Royalford RF8581 Melamine Rotating Serving Tray,Royalford,1,1,1,0,0,0,0,1,0,0,0,0
865,6294020021600,"Royalford RF8589 Aluminium Non-stick Crepe Tawa, 25cm",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
866,6294020021617,"Royalford RF8590 Die-cast Crepe Tawa, 28cm",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
867,6294020021624,"Royalford RF8591 Die-cast Griddle Pan, 34 x 25cm",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
868,6294020021631,"Royalford RF8592 Aluminium Non-stick Divided Wok Pan, 26cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
869,6294020021648,"Royalford RF8593 Aluminium Non-stick Fry Pan, 26cm",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
870,6294020021655,"Royalford RF8594  Die-cast Aluminium Frypan, 24cm",Royalford,1,0,1,0,0,0,0,1,0,0,0,0
871,6294020021662,"Royalford RF8595  Die-cast Aluminium Frypan, 26cm",Royalford,1,0,1,0,0,0,0,1,0,0,0,0
872,6294020021679,"Royalford RF8596  Die-cast Aluminium Frypan, 28cm",Royalford,1,0,1,0,0,0,0,1,0,0,0,0
873,6294020021686,"Royalford RF8597 Aluminium Non-stick Casserole, 20cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
874,6294020021693,"Royalford RF8598 Aluminium Casserole, 24cm",Royalford,1,1,1,0,0,0,0,1,0,0,0,0
875,6294020021709,"Royalford RF8599 Aluminium Non-stick Casserole, 28cm",Royalford,1,1,1,0,0,0,0,1,0,0,0,0
876,6294020021716,"Royalford RF8600  Die-cast Aluminium Casserole, 32cm",Royalford,1,1,1,0,0,0,0,1,0,0,0,0
877,6294020021747,"Royalford RF8603 Asan Induction Pressure Cooker, 4L",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
878,6294020021754,"Royalford RF8604 Asan Induction Pressure Cooker, 6L",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
879,6294020021761,"Royalford RF8605 Asan Induction Pressure Cooker, 7L",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
880,6294020021808,"Royalford RF8609 Recipient Canister, 1.9L",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
881,6294020021815,"Royalford RF8610 Recipient Canister, 2.3L",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
882,6294020021822,"Royalford RF8611 Recipient Canister, 3.1L",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
883,6294020021839,Royalford RF8612 Dust Pan,Royalford,1,0,1,0,0,0,0,0,0,0,1,0
884,6294020021877,"Royalford RF8616 Classic Plus Aluminium Casserole, 36cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
885,6294020021884,"Royalford RF8617 Classic Plus Aluminium Casserole, 40cm",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
886,6294020021891,"Royalford RF8618 High flyer Vacuum Flask Set, 2pieces",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
887,6294020021907,"Royalford RF8618 High flyer Vacuum Flask Set, 2pieces",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
888,6294020021914,"Royalford RF8620 High flyer Vacuum Flask Set, 2pieces",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
889,6294020021921,"Royalford RF8621  Laila Tea and Cawa Set, 2pieces",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
890,6294020021945,"Royalford RF8623 3-layer Corner Rack, 37 x 53cm",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
891,6294020021952,"Royalford RF8624 3-layer Rectangular Rack, 30 x 20 x 53cm",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
892,6294020021969,"Royalford RF8625 4-layer Rectangular Rack, 41 x 29 x 77cm",Royalford,0,0,1,0,0,0,0,0,0,0,0,0
893,6294020021983,"Royalford RF8627 Smart Pedal Bin, 22 x 26 x 33cm",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
894,6294020021990,"Royalford RF8628 Table Top Dustbin, 11 x 12 x 19cm",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
895,6294020022010,Royalford RF8630 Stainless Steel Flour Sifter,Royalford,1,0,1,0,0,0,0,0,0,0,0,0
896,6294020022027,Royalford RF8631 Stainless Steel Cheese Cutter,Royalford,0,0,1,0,0,0,0,0,0,0,1,0
897,6294020022034,"Royalford RF8632 Stainless Steel Basket Strainer, 25cm",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
898,6294020022041,"Royalford RF8633 Stainless Steel Basket Strainer, 32cm",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
899,6294020022058,"Royalford RF8634 Stainless Steel Basket Strainer, 34cm",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
900,6294020022065,"Royalford RF8635 Link-Up Space Jar Set, 5pieces",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
901,6294020022072,"Royalford RF8636 Airproof Cookie Jar, 650ml",Royalford,0,0,1,0,0,0,0,0,0,0,0,0
902,6294020022089,"Royalford RF8637 Airproof Cookie Jar, 1L",Royalford,0,0,1,0,0,0,0,0,0,0,0,0
903,6294020022096,"Royalford RF8638 Airproof Cookie Jar, 1.3L",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
904,6294020022300,"Royalford RF8659 Metallic Cloth Dryer, 180 x 55 x 105",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
905,6294020022317,"Royalford RF8660 Metallic Cloth Dryer, 180 x 55 x 105",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
906,6294020022324,Royalford RF8661 2-Layer Dish Rack with Cutlery Holder,Royalford,1,0,0,0,0,0,0,0,0,0,0,0
907,6294020022331,"Royalford RF8662 Stainless Steel Coffee Spoon Set, 2pieces",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
908,6294020022348,"Royalford RF8663 Stainless Steel Tea Spoon Set, 2pieces",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
909,6294020022355,"Royalford RF8664 Stainless Steel Dessert Spoon Set, 2pieces",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
910,6294020022362,"Royalford RF8665 Stainless Steel Dinner Spoon Set, 2pieces",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
911,6294020022379,"Royalford RF8666 Stainless Steel Soup Spoon Set, 2pieces",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
912,6294020022386,"Royalford RF8667 Stainless Steel Ice cream Spoon Set, 2pieces",Royalford,0,0,1,0,0,0,0,0,0,0,0,0
913,6294020022393,"Royalford RF8668 Stainless Steel Cake Fork Set, 2pieces",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
914,6294020022409,"Royalford RF8669 Stainless Steel Dessert Fork Set, 2pieces",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
915,6294020022416,"Royalford RF8670 Stainless Steel Dinner Fork Set, 2pieces",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
916,6294020022423,"Royalford RF8671 Stainless Steel Butter Knife Set, 2pieces",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
917,6294020022430,"Royalford RF8672 Stainless Steel Dinner Knife Set, 2pieces",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
918,6294020022447,"Royalford RF8673 Stainless Steel Steak Knife Set, 2pieces",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
919,6294020022454,Royalford RF8674 Stainless Steel Citrus Hand Juicer,Royalford,1,0,1,0,0,0,0,0,0,0,1,0
920,6294020022461,"Royalford RF8675 Universal Silicone Lid Set, 3pieces",Royalford,1,1,1,0,0,0,0,0,0,0,0,0
921,6294020022508,Royalford RF8679 Porcelain Tea Set with Bamboo Stand,Royalford,0,0,1,0,0,0,0,0,0,0,1,0
922,6294020022515,Royalford RF8680 Porcelain Coffee Set with Bamboo Stand,Royalford,0,0,1,0,0,0,0,0,0,0,1,0
923,6294020022522,Royalford RF8681 Porcelain Mug Set with Bamboo Stand,Royalford,0,0,1,0,0,0,0,0,0,0,1,0
924,6294020022539,Royalford RF8682 Porcelain Tea Set with Bamboo Tray,Royalford,0,0,1,0,0,0,0,0,0,0,1,0
925,6294020022546,Royalford RF8683 Porcelain Tea Set with Bamboo Tray,Royalford,0,0,1,0,0,0,0,0,0,0,1,0
926,6294020022553,Royalford Stoneware Spoon Rest,Royalford,0,0,1,0,0,0,0,0,0,0,1,0
927,6294020022560,"Royalford RF8685 Carbonized Organic Bamboo Cutting Board, 25 x 20 x 0.8cm",Royalford,1,1,1,0,1,0,1,0,0,0,0,0
928,6294020022577,"Royalford RF8686 Carbonized Organic Bamboo Cutting Board, 37 x 25.5 x 1.3cm",Royalford,1,1,0,0,0,0,0,0,0,0,1,0
929,6294020022669,Royalford RF8695 Orchid Lunch Box with Water Bottle,Royalford,1,0,1,0,0,0,0,0,0,0,1,0
930,6294020022775,Royalford RF8706 Ultra-slim 3-compartment Lunch Box with Insulated Bag,Royalford,1,1,1,0,0,0,0,0,0,0,1,0
931,6294020022782,"Royalford RF8707 Ultra-slim 5-compartment Lunch Box, 1.2L",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
932,6294020022799,"Royalford RF8708 Fashion Insulated Round Lunch Box, 14.8 x 12.1cm",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
933,6294020022805,"Royalford RF8709 Ultra-slim 3-compartment Fit & Fresh Lunch Box, 0.4L",Royalford,1,0,0,0,0,0,0,0,0,0,1,0
934,6294020022812,"Royalford RF8710 Ultra-slim 3-compartment Fit & Fresh Lunch Box, 0.8L",Royalford,0,0,1,0,1,0,0,0,0,0,1,0
935,6294020022829,Royalford RF8711 2-layer Lunch Box with Insulated Bag,Royalford,1,0,1,0,0,0,0,0,0,0,1,0
936,6294020022836,"Royalford Health Sports Water Bottle, 450ml",Royalford,0,0,1,0,0,0,0,0,0,0,1,0
937,6294016401096,"Royalford RF8822 Opal Spin Round Dinner Set, 66pieces",Royalford,0,0,0,0,0,0,0,0,0,0,0,0
938,6294016401119,"Royalford RF8824 Opal Spin Round Dinner Set, 66pieces",Royalford,0,0,0,0,0,0,0,0,0,0,1,0
939,6294009911663,Royalford RF913-COR 2-Tier Corner Rack,Royalford,1,0,1,0,0,0,0,0,0,0,0,0
940,6294009911670,"RoyalFord RF914-BR 2-Layer Kitchen Rack, 361 x 158 x 347mm",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
941,6294009903613,"Royalford RF982-H6 Plastic Hanger Set, 6pieces",Royalford,1,0,1,0,0,0,0,0,0,0,0,0
942,6294015503487,Geepas GA1959 Dual USB Travel Charger,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
943,6294015503494,Geepas GA1960 4 USB Travel Charger,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
944,6294010884765,Geepas GA4069 Electric Adaptor,Geepas,1,0,0,0,0,0,0,0,0,0,0,0
945,6294010884789,Geepas GA4071 Electric Adaptor,Geepas,0,0,0,0,0,0,0,0,0,0,0,0
946,6294015507508,"Geepas GA58018 UK-type Adaptor, 3-way Extension",Geepas,1,1,1,0,0,0,0,0,0,0,0,0
947,6294015508932,Geepas GA58020 Universal Dual Usb Adapter,Geepas,0,0,1,0,0,0,0,0,0,0,1,0
948,6294015508949,Geepas GA58021 Universal Dual Usb Adapter,Geepas,1,1,1,0,0,0,0,0,0,0,0,0
949,6294015509809,Geepas GA58023UK Universal Dual Usb Adaptor,Geepas,1,1,0,0,1,0,0,0,0,0,0,0
950,6294015509816,Geepas GA58024UK Universal D2 Usb Adaptor,Geepas,1,1,0,0,1,0,0,0,0,0,0,0
951,6294001749745,"Geepas GAC9433 3-in-1 Air Cooler, 65W",Geepas,1,1,0,0,0,0,0,0,0,0,0,0
952,6294010887315,Geepas GAC9486 Rechargeable Air Cooler,Geepas,0,0,0,0,0,0,0,0,0,0,0,0
953,6294010888374,"Geepas GAC9492 Air Cooler, 8L",Geepas,1,1,1,0,0,0,0,0,0,0,0,0
954,6294010888480,"Geepas GAC9493 Air Cooler, 1.6L",Geepas,1,1,1,0,0,0,0,0,0,0,1,0
955,6294010888893,"Geepas GAC9495 Air Cooler, 15L",Geepas,1,1,1,0,0,0,0,0,0,0,0,0
956,6294010889227,"Geepas GAC9576 Air Cooler, 7L",Geepas,1,0,1,0,0,0,0,0,0,0,0,0
957,6294015500059,Geepas GAC9580 High Speed Rechargeable Air Cooler,Geepas,1,1,1,0,0,0,0,0,0,0,0,0
958,6294015500547,"Geepas GAC9602 Air Cooler, 70L",Geepas,1,0,1,0,0,0,0,0,0,0,0,0
959,6294010885137,"Geepas GACS18025CU Split Air Conditioner, Turbo Function",Geepas,1,0,1,0,0,0,0,0,0,0,0,0
960,6294015509397,Geepas GACS1858TCU Split Type 1.5 Ton Air Conditioner,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
961,6294010885151,"Geepas GACS24035CU Split Air Conditioner, 2.0 Ton",Geepas,1,1,1,0,0,0,0,0,0,0,0,0
962,6294015505467,Geepas GACS24067PIA Split Air Conditioner,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
963,6294015506426,Geepas GACS2409RIA Split Air Conditioner,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
964,6294015509403,Geepas GACS2468TCU Split Type 2.0 Ton Air Conditioner,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
965,6294010885144,"Geepas GACW18015CU Air Conditioner, Turbo Function",Geepas,1,0,1,0,0,0,0,1,0,0,0,0
966,6294015509434,Geepas GACW1818HCS 1.5 Ton Window Air Conditioner,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
967,6294015509410,Geepas GACW1878TCU 1.5 Ton Window Type Air Conditioner,Geepas,1,1,1,0,0,0,0,1,0,0,0,0
968,6294015504408,Geepas GACW24057CU 2 Ton Window Type Air Conditioner,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
969,6294015509427,Geepas GACW2488TCU 2 Ton Window Type Air Conditioner,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
970,6294010880101,"Geepas GAF2706 Air Fryer, 4L",Geepas,1,1,0,0,0,0,0,0,0,0,0,0
971,6294015507232,Geepas GAF37501 Digital Air Fryer,Geepas,1,1,1,0,0,0,1,1,0,0,0,0
972,6294015509618,Geepas GAF37502UK Digital Air Fryer,Geepas,1,1,0,0,1,0,1,1,0,0,0,0
973,6294015501643,"Geepas GAF6006 Air Fryer, 4L",Geepas,1,1,1,0,0,0,0,1,0,0,0,0
974,6294010889975,"Geepas GAF6107 Non-stick Air Fryer, 3.2L",Geepas,1,1,1,0,0,0,1,1,0,0,0,0
975,6294015516098,Geepas GAG4511 Angle Grinder 115MM 1100W 12000RPM,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
976,6294015516104,Geepas GAG9024 Angle Grinder 230MM 1100W 6600RPM,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
977,6294010889166,Geepas GBG5480 Electric Barbeque Grill,Geepas,1,1,1,0,0,0,0,0,0,0,0,0
978,6294001704973,Geepas GBG877 Open Air Barbeque Grill,Geepas,1,0,0,0,0,0,0,0,0,0,0,0
979,6294015504316,Geepas GBG9898 Electric Brabecue Grill,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
980,6294001736370,"Geepas GBK1131N Electric Bug Killer, 2 x 6W Tube",Geepas,1,1,1,0,0,0,1,0,0,0,0,0
981,6294001736387,"Geepas GBK1132N Electric Bug Killer, 2 x 8W Tube",Geepas,1,1,0,0,0,0,1,0,0,0,0,0
982,6294001736394,"Geepas GBK1133N Bug Killer, 2 x 10W Tube",Geepas,1,1,0,0,0,0,1,0,0,0,0,0
983,6294001736400,"Geepas GBK1134N Bug Killer with Bs Plug, 2 x 15W Tube",Geepas,0,0,0,0,0,0,0,0,0,0,0,0
984,6294010888121,Geepas GBK1148 Electric Insect Killer,Geepas,1,1,1,0,0,0,0,0,0,0,0,0
985,6294015503562,Geepas GBK1151 Automatic Insect Killer,Geepas,1,1,1,0,0,0,0,0,0,0,0,0
986,6294015506471,"Geepas GBK25601 Mosquito Swatter, Blue",Geepas,1,0,1,0,0,0,0,0,0,0,0,0
987,6294015510140,Geepas GBK25603UK Electric Bug Killer,Geepas,1,1,1,0,0,0,1,0,0,0,0,0
988,6294015500042,"Geepas GBM6112 Non-stick Chapathi Maker, 30cm",Geepas,1,1,1,0,0,0,0,0,0,0,0,0
989,6294001710882,Geepas GBS4162 Mechanical Weighing Scale with Height and Weight Index,Geepas,1,1,0,0,0,0,0,0,0,0,0,0
990,6294001712954,Geepas GBS4169 Mechanical Weighing Scale with Analog Display,Geepas,0,0,0,0,0,0,0,0,0,0,0,0
991,6294001725671,"Geepas GBS4179 Kitchen Scale with Adjustable Scale, 5Kg",Geepas,0,0,0,0,0,0,0,0,0,0,0,0
992,6294001728290,Geepas GBS4186 Adjustable Kitchen Scale,Geepas,0,0,0,0,0,0,1,0,0,0,0,0
993,6294001736561,Geepas GBS4197 Mechanical Weighing Scale with Analog Display,Geepas,0,0,0,0,0,0,1,0,0,0,0,0
994,6294001736578,Geepas GBS4198 Mechanical Weighing Scale with Analog Display,Geepas,0,0,1,0,0,0,1,0,0,0,0,0
995,6294010881504,Geepas GBS4208 Digital Weighing Scale with LCD Display,Geepas,1,1,0,0,1,0,1,0,0,0,0,0
996,6294010881511,Geepas GBS4209 Kitchen Scale with LCD Display,Geepas,0,0,0,0,0,0,1,0,0,0,0,0
997,6294010885922,Geepas GBS4210 Digital Weighing Scale with LCD Display,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
998,6294010885960,Geepas GBS4211 Digital Weighing Scale with LCD Display,Geepas,1,0,1,0,0,0,1,0,0,0,0,0
999,6294010888282,Geepas GBS4213 Digital Weighing Scale,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1000,6294010888299,Geepas GBS4214 Digital Weighing Scale,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1001,6294010888664,Geepas GBS4215 Digital Weighing Scale,Geepas,1,1,1,0,0,0,0,0,0,0,0,0
1002,6294015501391,Geepas GBS4217 Digital Weighing Scale with LCD Display,Geepas,1,0,1,0,0,0,1,0,0,0,0,0
1003,6294015505986,Geepas GBS 4219 Digital Weighing Scale with LCD Display,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1004,6294015505993,Geepas GBS4220 Digital Weighing Scale with LED Display,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1005,6294015509564,Geepas GBS46501UK Digital Weighing Scale with LED Display,Geepas,1,1,1,0,1,0,0,0,0,0,0,0
1006,6294015509977,Geepas GBS46504UK Digital Weighing Scale with LED Display,Geepas,1,1,1,0,0,0,1,0,0,0,0,0
1007,6294015510508,Geepas GBS46505UK Digital Weighing Scale with LED Display,Geepas,1,1,1,0,0,0,0,0,0,0,0,0
1008,6294015510515,Geepas GBS46506UK Digital Weighing Scale with LED Display,Geepas,1,1,1,0,0,0,0,0,0,0,0,0
1009,6294015509878,Geepas GBT36054UK 4-Slice Stainless Steel Bread Toaster,Geepas,1,0,1,0,0,0,1,0,0,0,0,0
1010,6294015509885,Geepas GBT36505UK 2 Slot Bread Toaster,Geepas,1,0,0,0,0,0,1,0,0,0,0,0
1011,6294015510126,Geepas GBT36506UK 2 Slot Bread Toaster,Geepas,1,1,1,0,1,0,1,0,0,0,0,0
1012,6294015511673,Geepas GBT36513UK 2 Slice Bread Toaster,Geepas,1,1,1,0,1,0,1,0,0,0,0,0
1013,6294015522778,Geepas GBT36515 2 Slice Bread Toaster,Geepas,1,0,1,0,0,0,1,0,0,0,0,0
1014,6294010889951,Geepas GBT6110 2-Slice Bread Toaster,Geepas,1,1,1,0,0,0,0,0,0,0,0,0
1015,6294015503524,"Geepas GBT6152 2-Slice Bread Toaster, 270x160x160mm",Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1016,6294015503531,"Geepas GBT6153 4-Slice Bread Toaster, 400x150x165mm",Geepas,1,1,1,0,0,0,0,0,0,0,0,0
1017,6294015504286,Geepas GBT9895 4-Slice Bread Toaster,Geepas,1,0,1,0,0,0,1,0,0,0,0,0
1018,6294001720409,Geepas GC1655 Chpper with Single Blade,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1019,6294015502022,Geepas GC1951 Lightning USB Sync Charger Cable,Geepas,1,1,1,0,0,0,0,0,0,0,0,0
1020,6294015502039,Geepas GC1952 Micro USB Cable,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1021,6294015502046,Geepas GC1953 2 in 1 Lightning USB Sync Charger Cable,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1022,6294015502053,Geepas GC1954 HDMI Cable 2M,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1023,6294015506174,Geepas GC1961 Lighting Cable,Geepas,1,1,1,0,0,0,0,0,0,0,0,0
1024,6294015506181,Geepas GC1962 Micro Usb Cable,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1025,6294010881580,"Geepas GC5377 Electric Chopper, 1.5L",Geepas,1,0,0,0,0,0,0,0,0,0,0,0
1026,6294010888336,Geepas GC5474 Electric Chopper,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1027,6294010888633,"Geepas GC477 Multifunctional Chopper with 4SS Blade, 500Ml",Geepas,1,1,1,0,1,0,1,0,0,1,0,0
1028,6294015504293,"Geepas GC9896 Chopper with Double Blade, 550Ml",Geepas,1,1,1,0,0,0,0,0,0,0,0,0
1029,6294015503463,Geepas GCC1957 Dual USB Car Charger,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1030,6294015503470,Geepas GCC1958 Car Charger,Geepas,1,0,1,0,0,0,0,0,0,0,0,0
1031,6294015521641,Geepas GCC58027 Type C Cable Usb Sync Charge Cable,Geepas,1,0,1,0,0,0,1,0,0,0,0,0
1032,6294015521658,Geepas GCC58028 MicroUsb Type C 2In1 Usb Sync Charge,Geepas,1,0,1,0,0,0,1,0,0,0,0,0
1033,6294015502466,Geepas Toolz GCD7627 Cordless Screwdriver,Geepas,1,1,1,0,0,0,0,0,0,0,0,0
1034,6294015502473,"Geepas Toolz GCD7628 Cordless Drill, 10mm Chuck",Geepas,1,1,1,0,0,0,0,0,0,0,0,0
1035,6294015502480,"Geepas Toolz GCD7629 Cordless Drill Driver, Rechargeable",Geepas,1,1,1,0,0,0,0,0,0,0,0,0
